body,body_attempts,clinch,clinch_attempts,date,distance,distance_attempts,fight_id,ground,ground_attempts,head,head_attempts,kd,leg,leg_attempts,location,method,name,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title,win/loss
3,5,5,5,"April 15, 2017",9,28,200,33,39,42,63,1,2,4,"Kansas City, Missouri, USA",Submission,Rose Namajunas,3,Keith Peterson,1,2,72,47,86,56,1,1,1,UFC Fight Night: Johnson vs. Reis,W
4,5,2,2,"April 15, 2017",19,30,200,1,1,5,14,0,13,14,"Kansas City, Missouri, USA",Submission,Michelle Waterson,0,Keith Peterson,0,2,33,22,44,31,0,1,1,UFC Fight Night: Johnson vs. Reis,L
3,5,3,4,"April 15, 2017",6,32,201,0,0,6,31,0,0,0,"Kansas City, Missouri, USA",KO/TKO,Jacare Souza,1,Mario Yamasaki,0,2,36,9,40,13,0,1,3,UFC Fight Night: Johnson vs. Reis,L
7,12,1,4,"April 15, 2017",40,85,201,14,21,47,97,1,1,1,"Kansas City, Missouri, USA",KO/TKO,Robert Whittaker,0,Mario Yamasaki,0,2,110,55,112,57,0,0,0,UFC Fight Night: Johnson vs. Reis,W
7,10,3,6,"April 15, 2017",53,201,202,0,0,28,168,0,21,29,"Kansas City, Missouri, USA",Decision,Jeremy Stephens,0,Mike England,0,3,207,56,224,73,0,0,1,UFC Fight Night: Johnson vs. Reis,L
3,5,1,3,"April 15, 2017",66,110,202,3,3,39,78,0,28,33,"Kansas City, Missouri, USA",Decision,Renato Moicano,1,Mike England,0,3,116,70,123,76,0,2,5,UFC Fight Night: Johnson vs. Reis,W
29,34,17,25,"April 15, 2017",105,157,203,0,0,77,132,0,16,16,"Kansas City, Missouri, USA",Decision,Alexander Volkov,0,Dan Miragliotta,0,3,182,122,185,125,0,0,0,UFC Fight Night: Johnson vs. Reis,W
9,9,6,7,"April 15, 2017",25,58,203,1,2,18,52,0,5,6,"Kansas City, Missouri, USA",Decision,Roy Nelson,2,Dan Miragliotta,0,3,67,32,75,40,0,1,8,UFC Fight Night: Johnson vs. Reis,L
11,14,15,24,"April 15, 2017",21,48,204,1,1,20,53,0,6,6,"Kansas City, Missouri, USA",KO/TKO,Patrick Williams,0,Keith Peterson,0,2,73,37,80,42,0,2,4,UFC Fight Night: Johnson vs. Reis,L
14,15,17,20,"April 15, 2017",18,26,204,1,3,16,28,2,6,6,"Kansas City, Missouri, USA",KO/TKO,Tom Duquesnoy,0,Keith Peterson,0,2,49,36,49,36,0,0,0,UFC Fight Night: Johnson vs. Reis,W
27,33,15,19,"April 15, 2017",60,124,205,0,0,14,71,0,34,39,"Kansas City, Missouri, USA",Decision,Bobby Green,0,Mario Yamasaki,0,3,143,75,176,104,0,0,6,UFC Fight Night: Johnson vs. Reis,L
28,41,5,8,"April 15, 2017",69,180,205,1,1,43,140,0,4,8,"Kansas City, Missouri, USA",Decision,Rashid Magomedov,0,Mario Yamasaki,0,3,189,75,202,88,0,0,1,UFC Fight Night: Johnson vs. Reis,W
4,6,3,7,"April 15, 2017",27,74,206,11,16,35,89,0,2,2,"Kansas City, Missouri, USA",Decision,Louis Smolka,5,Mike England,4,3,97,41,105,47,2,1,4,UFC Fight Night: Johnson vs. Reis,L
15,18,12,18,"April 15, 2017",30,55,206,15,18,34,64,0,8,9,"Kansas City, Missouri, USA",Decision,Tim Elliott,14,Mike England,3,3,91,57,136,98,1,12,14,UFC Fight Night: Johnson vs. Reis,W
46,55,10,12,"April 15, 2017",53,117,207,20,32,28,90,0,9,16,"Kansas City, Missouri, USA",Decision,Aljamain Sterling,0,Mario Yamasaki,0,3,161,83,246,162,0,2,6,UFC Fight Night: Johnson vs. Reis,W
7,11,4,4,"April 15, 2017",24,84,207,2,3,16,73,1,7,7,"Kansas City, Missouri, USA",Decision,Augusto Mendes,0,Mario Yamasaki,1,3,91,30,145,76,0,0,3,UFC Fight Night: Johnson vs. Reis,L
17,19,11,15,"April 15, 2017",20,50,208,37,40,42,76,0,9,10,"Kansas City, Missouri, USA",Decision,Devin Clark,6,Dan Miragliotta,0,3,105,68,207,159,0,4,7,UFC Fight Night: Johnson vs. Reis,W
11,15,20,28,"April 15, 2017",15,43,208,1,1,17,48,0,8,9,"Kansas City, Missouri, USA",Decision,Jake Collier,0,Dan Miragliotta,0,3,72,36,91,52,1,0,2,UFC Fight Night: Johnson vs. Reis,L
12,12,8,9,"April 15, 2017",35,85,209,6,6,33,84,1,4,4,"Kansas City, Missouri, USA",KO/TKO,Anthony Smith,1,Keith Peterson,1,3,100,49,111,58,0,0,1,UFC Fight Night: Johnson vs. Reis,W
7,12,3,5,"April 15, 2017",36,75,209,24,24,48,84,0,8,8,"Kansas City, Missouri, USA",KO/TKO,Andrew Sanchez,3,Keith Peterson,0,3,104,63,151,104,0,4,10,UFC Fight Night: Johnson vs. Reis,L
2,3,2,2,"April 15, 2017",21,68,210,2,2,20,66,0,3,3,"Kansas City, Missouri, USA",Submission,Zak Cummings,0,Mike England,0,1,72,25,72,25,2,0,0,UFC Fight Night: Johnson vs. Reis,W
7,8,1,1,"April 15, 2017",22,40,210,0,0,13,29,0,3,4,"Kansas City, Missouri, USA",Submission,Nathan Coy,0,Mike England,0,1,41,23,41,23,0,1,1,UFC Fight Night: Johnson vs. Reis,L
17,22,16,21,"April 15, 2017",52,168,211,0,0,20,132,0,31,35,"Kansas City, Missouri, USA",Decision,Ashlee Evans-Smith,0,Keith Peterson,0,3,189,68,228,100,0,0,5,UFC Fight Night: Johnson vs. Reis,L
11,13,13,17,"April 15, 2017",57,217,211,1,1,56,218,0,4,4,"Kansas City, Missouri, USA",Decision,Ketlen Vieira,1,Keith Peterson,0,3,235,71,256,89,0,1,5,UFC Fight Night: Johnson vs. Reis,W
4,4,21,22,"April 08, 2017",1,5,212,14,14,29,34,0,3,3,"Buffalo, New York, USA",Submission,Daniel Cormier,1,John McCarthy,0,2,41,36,97,85,1,1,2,UFC 210: Cormier vs. Johnson 2,W
8,10,10,11,"April 08, 2017",12,25,212,0,0,6,18,0,8,8,"Buffalo, New York, USA",Submission,Anthony Johnson,0,John McCarthy,0,2,36,22,36,22,0,1,3,UFC 210: Cormier vs. Johnson 2,L
3,3,0,0,"April 08, 2017",13,28,213,0,1,9,25,0,1,1,"Buffalo, New York, USA",KO/TKO,Chris Weidman,2,Dan Miragliotta,0,2,29,13,34,18,1,4,6,UFC 210: Cormier vs. Johnson 2,L
5,6,15,20,"April 08, 2017",32,71,213,2,2,34,76,0,10,11,"Buffalo, New York, USA",KO/TKO,Gegard Mousasi,0,Dan Miragliotta,0,2,93,49,99,55,0,0,1,UFC 210: Cormier vs. Johnson 2,W
16,21,1,1,"April 08, 2017",48,167,214,1,1,26,140,0,8,8,"Buffalo, New York, USA",Submission,Cynthia Calvillo,4,Keith Peterson,0,3,169,50,188,65,3,1,1,UFC 210: Cormier vs. Johnson 2,W
2,4,2,2,"April 08, 2017",34,109,214,1,1,28,101,0,7,7,"Buffalo, New York, USA",Submission,Pearl Gonzalez,2,Keith Peterson,0,3,112,37,118,43,1,2,3,UFC 210: Cormier vs. Johnson 2,L
8,11,9,15,"April 08, 2017",54,120,215,16,22,44,115,2,27,31,"Buffalo, New York, USA",Decision,Thiago Alves,3,Todd Anderson,0,3,157,79,182,103,0,1,1,UFC 210: Cormier vs. Johnson 2,W
9,13,6,10,"April 08, 2017",38,121,215,0,0,27,103,0,8,15,"Buffalo, New York, USA",Decision,Patrick Cote,0,Todd Anderson,0,3,131,44,140,51,0,0,1,UFC 210: Cormier vs. Johnson 2,L
2,2,0,0,"April 08, 2017",4,5,216,0,0,1,2,0,1,1,"Buffalo, New York, USA",Submission,Will Brooks,0,John McCarthy,0,1,5,4,9,8,0,0,0,UFC 210: Cormier vs. Johnson 2,L
1,2,1,1,"April 08, 2017",2,6,216,0,0,0,2,0,2,3,"Buffalo, New York, USA",Submission,Charles Oliveira,1,John McCarthy,0,1,7,3,7,3,1,2,2,UFC 210: Cormier vs. Johnson 2,W
0,1,0,0,"April 08, 2017",1,5,217,35,47,36,51,0,0,0,"Buffalo, New York, USA",KO/TKO,Myles Jury,2,Dan Miragliotta,0,1,52,36,62,44,0,1,1,UFC 210: Cormier vs. Johnson 2,W
0,0,0,0,"April 08, 2017",0,3,217,0,0,0,3,0,0,0,"Buffalo, New York, USA",KO/TKO,Mike de la Torre,0,Dan Miragliotta,0,1,3,0,5,2,0,0,0,UFC 210: Cormier vs. Johnson 2,L
23,31,6,10,"April 08, 2017",45,107,218,39,54,49,120,1,18,20,"Buffalo, New York, USA",Decision,Kamaru Usman,2,Keith Peterson,0,3,171,90,200,117,0,2,8,UFC 210: Cormier vs. Johnson 2,W
1,1,1,2,"April 08, 2017",26,101,218,0,0,25,101,0,1,1,"Buffalo, New York, USA",Decision,Sean Strickland,0,Keith Peterson,0,3,103,27,108,30,0,0,0,UFC 210: Cormier vs. Johnson 2,L
13,23,9,12,"April 08, 2017",66,153,219,2,2,55,133,1,9,11,"Buffalo, New York, USA",KO/TKO,Shane Burgos,0,Todd Anderson,0,3,167,77,190,98,0,0,0,UFC 210: Cormier vs. Johnson 2,W
6,22,1,5,"April 08, 2017",85,256,219,0,0,46,190,0,34,49,"Buffalo, New York, USA",KO/TKO,Charles Rosa,0,Todd Anderson,0,3,261,86,261,86,0,1,7,UFC 210: Cormier vs. Johnson 2,L
10,11,17,21,"April 08, 2017",23,59,220,33,41,62,109,0,1,1,"Buffalo, New York, USA",Decision,Patrick Cummins,1,John McCarthy,0,3,121,73,162,109,0,3,10,UFC 210: Cormier vs. Johnson 2,W
